ID_SAMPLE,GENE,SIMILARITY_RATE,WITHIN_THRESHOLD?
2801349,BRAF,4,NO
888437,BRAF,1,NO
1065190,BRAF,5,NO
2349708,BRAF,13,NO
1515760,BRAF,2,NO
1038583,BRAF,5,NO
2062377,BRAF,2,NO
890103,BRAF,1,NO
1022098,BRAF,1,NO
1819970,BRAF,2,NO
898302,BRAF,0,NO
2471432,BRAF,9,NO
2262880,BRAF,20,NO
890051,BRAF,11,NO
1812285,BRAF,0,NO
1540153,BRAF,11,NO
1812540,BRAF,3,NO
1812524,BRAF,1,NO
1540192,BRAF,0,NO
1751772,BRAF,1,NO
1812538,BRAF,0,NO
2349740,BRAF,11,NO
2349916,BRAF,4,NO
1151115,BRAF,1,NO
1584542,BRAF,2,NO
1687149,BRAF,8,NO
2720536,BRAF,2,NO
1757060,BRAF,1,NO
1757246,BRAF,10,NO
888294,BRAF,2,NO
2520795,BRAF,6,NO
1993350,BRAF,2,NO
1539826,BRAF,1,NO
1292513,BRAF,0,NO
2349635,BRAF,2,NO
1798004,BRAF,0,NO
1630178,BRAF,12,NO
2349489,BRAF,1,NO
2801288,BRAF,13,NO
2380409,BRAF,1,NO
1038688,BRAF,1,NO
1038579,BRAF,2,NO
1150314,BRAF,1,NO
2007674,BRAF,5,NO
888878,BRAF,1,NO
1687017,BRAF,7,NO
2121578,BRAF,27,NO
1217263,BRAF,1,NO
1025221,BRAF,11,NO
888069,BRAF,8,NO
2894862,BRAF,4,NO
1295544,BRAF,2,NO
2121695,BRAF,7,NO
1723502,BRAF,1,NO
887363,BRAF,4,NO
1295538,BRAF,1,NO
1295541,BRAF,1,NO
1038628,BRAF,4,NO
2614954,BRAF,2,NO
1065563,BRAF,0,NO
2349895,BRAF,1,NO
1098009,BRAF,1,NO
2349535,BRAF,10,NO
888089,BRAF,3,NO
887498,BRAF,0,NO
2869900,BRAF,8,NO
685781,BRAF,64,NO
887353,BRAF,1,NO
1335228,BRAF,8,NO
2574608,BRAF,0,NO
1723696,BRAF,4,NO
2339747,BRAF,6,NO
1571194,BRAF,1,NO
1838474,BRAF,2,NO
888865,BRAF,0,NO
2839322,BRAF,1,NO
2653777,BRAF,1,NO
1751798,BRAF,5,NO
1097807,BRAF,1,NO
2349904,BRAF,10,NO
1248968,BRAF,1,NO
2339953,BRAF,1,NO
2520825,BRAF,1,NO
2520839,BRAF,13,NO
1812340,BRAF,0,NO
1993706,BRAF,1,NO
2163767,BRAF,3,NO
1812399,BRAF,0,NO
1675400,BRAF,0,NO
1873902,BRAF,1,NO
2839392,BRAF,4,NO
2604078,BRAF,9,NO
1038671,BRAF,1,NO
2339741,BRAF,10,NO
1540086,BRAF,1,NO
1559452,BRAF,2,NO
2653846,BRAF,1,NO
1479506,BRAF,3,NO
684509,BRAF,6,NO
1756977,BRAF,2,NO
1299204,BRAF,3,NO
1703616,BRAF,3,NO
1757103,BRAF,0,NO
1223333,BRAF,5,NO
2121576,BRAF,2,NO
2349704,BRAF,1,NO
1598319,BRAF,1,NO
2349884,BRAF,0,NO
1284637,BRAF,2,NO
2121717,BRAF,1,NO
971888,BRAF,0,NO
1809631,BRAF,78,NO
889140,BRAF,0,NO
1756999,BRAF,2,NO
1075341,BRAF,2,NO
1548855,BRAF,6,NO
1097811,BRAF,4,NO
2349876,BRAF,6,NO
2349400,BRAF,4,NO
1229484,BRAF,1,NO
1703634,BRAF,4,NO
2349846,BRAF,4,NO
1431477,BRAF,1,NO
1708634,BRAF,0,NO
2163777,BRAF,2,NO
1762608,BRAF,23,NO
2603677,BRAF,4,NO
685778,BRAF,78,NO
2721566,BRAF,0,NO
906092,BRAF,0,NO
2349519,BRAF,2,NO
889216,BRAF,2,NO
2349685,BRAF,2,NO
888447,BRAF,1,NO
2349868,BRAF,1,NO
2349721,BRAF,1,NO
686410,BRAF,4,NO
2614949,BRAF,1,NO
2574598,BRAF,2,NO
1075312,BRAF,22,NO
1540172,BRAF,2,NO
1229485,BRAF,19,NO
2349617,BRAF,3,NO
2603635,BRAF,4,NO
886150,BRAF,2,NO
1675363,BRAF,29,NO
1757259,BRAF,5,NO
1515781,BRAF,7,NO
2349514,BRAF,1,NO
2349339,BRAF,0,NO
1812521,BRAF,5,NO
1482443,BRAF,1,NO
2839328,BRAF,21,NO
2520809,BRAF,4,NO
898262,BRAF,1,NO
1539961,BRAF,1,NO
891584,BRAF,11,NO
1757006,BRAF,0,NO
1757241,BRAF,37,NO
1687172,BRAF,0,NO
1704434,BRAF,2,NO
2612678,BRAF,2,NO
1812414,BRAF,0,NO
2121630,BRAF,2,NO
888988,BRAF,3,NO
888438,BRAF,4,NO
2471413,BRAF,40,NO
2349667,BRAF,6,NO
1295540,BRAF,0,NO
891592,BRAF,2,NO
1431431,BRAF,1,NO
1295545,BRAF,0,NO
2822903,BRAF,5,NO
898208,BRAF,1,NO
2686366,BRAF,15,NO
2349601,BRAF,1,NO
1798036,BRAF,4,NO
1630170,BRAF,1,NO
1292486,BRAF,1,NO
1540224,BRAF,7,NO
2520806,BRAF,10,NO
1539854,BRAF,0,NO
1299201,BRAF,2,NO
886157,BRAF,1,NO
2349899,BRAF,5,NO
888055,BRAF,0,NO
2349314,BRAF,0,NO
1022480,BRAF,3,NO
2686536,BRAF,9,NO
2894829,BRAF,3,NO
684512,BRAF,0,NO
685168,BRAF,4,NO
898298,BRAF,0,NO
2644370,BRAF,1,NO
1098010,BRAF,5,NO
886406,BRAF,3,NO
1540063,BRAF,4,NO
890108,BRAF,0,NO
1757177,BRAF,0,NO
2121622,BRAF,7,NO
2349810,BRAF,10,NO
1136662,BRAF,2,NO
1299192,BRAF,0,NO
2574540,BRAF,1,NO
890107,BRAF,16,NO
2349355,BRAF,8,NO
1812685,BRAF,7,NO
1151124,BRAF,0,NO
1082453,BRAF,10,NO
2349908,BRAF,4,NO
1708645,BRAF,9,NO
1941884,BRAF,13,NO
2520828,BRAF,0,NO
2642716,BRAF,1,NO
886138,BRAF,0,NO
1540120,BRAF,26,NO
1790481,BRAF,49,NO
1470149,BRAF,1,NO
888986,BRAF,2,NO
2686534,BRAF,2,NO
1731644,BRAF,8,NO
888999,BRAF,1,NO
1470181,BRAF,14,NO
1723413,BRAF,8,NO
1863640,BRAF,10,NO
1723689,BRAF,0,NO
1097814,BRAF,1,NO
2721812,BRAF,5,NO
1539956,BRAF,11,NO
2349809,BRAF,0,NO
2444774,BRAF,7,NO
888521,BRAF,6,NO
2339738,BRAF,2,NO
2603693,BRAF,29,NO
1065580,BRAF,2,NO
1664830,BRAF,33,NO
2720755,BRAF,2,NO
1598327,BRAF,2,NO
1757132,BRAF,1,NO
971907,BRAF,78,NO
852203,BRAF,3,NO
2349524,BRAF,2,NO
1097813,BRAF,1,NO
1820064,BRAF,9,NO
1540125,BRAF,4,NO
889224,BRAF,2,NO
1065549,BRAF,3,NO
1819942,BRAF,12,NO
1757221,BRAF,2,NO
1941867,BRAF,2,NO
2686326,BRAF,4,NO
891609,BRAF,16,NO
2349726,BRAF,3,NO
2349649,BRAF,0,NO
685776,BRAF,3,NO
1075321,BRAF,4,NO
888448,BRAF,1,NO
1790487,BRAF,0,NO
2574538,BRAF,2,NO
2349549,BRAF,10,NO
888982,BRAF,16,NO
1812374,BRAF,3,NO
1038580,BRAF,4,NO
1993521,BRAF,3,NO
1757002,BRAF,0,NO
1229490,BRAF,1,NO
890210,BRAF,8,NO
1813388,BRAF,0,NO
1551809,BRAF,7,NO
1812932,BRAF,2,NO
2587204,BRAF,1,NO
1757276,BRAF,8,NO
906087,BRAF,7,NO
1026960,BRAF,4,NO
1798055,BRAF,1,NO
686446,BRAF,3,NO
2520717,BRAF,7,NO
1467754,BRAF,1,NO
1757100,BRAF,0,NO
2439322,BRAF,2,NO
2574549,BRAF,7,NO
1812694,BRAF,6,NO
684540,BRAF,12,NO
2574515,BRAF,0,NO
1790452,BRAF,78,NO
1812501,BRAF,2,NO
1757225,BRAF,1,NO
971904,BRAF,13,NO
2603689,BRAF,0,NO
1540079,BRAF,1,NO
891583,BRAF,1,NO
1479481,BRAF,1,NO
1812692,BRAF,0,NO
2869749,BRAF,5,NO
